day,demand_MWh
10/30/2018,9494956
10/29/2018,9825746
10/28/2018,9088107
10/27/2018,9353044
10/26/2018,9983074
10/25/2018,10022214
10/24/2018,9925899
10/23/2018,9861978
10/22/2018,9914432
10/21/2018,9170917
10/20/2018,9312839
10/19/2018,9929012
10/18/2018,9966623
10/17/2018,10089803
10/16/2018,10239805
10/15/2018,10239106
10/14/2018,9369830
10/13/2018,9289554
10/12/2018,9855080
10/11/2018,10563214
10/10/2018,11107150
10/9/2018,11329818
10/8/2018,11231708
10/7/2018,10443919
10/6/2018,10565329
10/5/2018,11191512
10/4/2018,11486858
10/3/2018,11619739
10/2/2018,11338132
10/1/2018,11042814
09/30/2018,9988693
09/29/2018,10024489
09/28/2018,10643109
09/27/2018,10775690
09/26/2018,11339935
09/25/2018,11441583
09/24/2018,10948997
09/23/2018,10069422
09/22/2018,10529271
09/21/2018,11923497
09/20/2018,12365509
09/19/2018,12455355
09/18/2018,12657597
09/17/2018,12531603
09/16/2018,11567619
09/15/2018,11668055
09/14/2018,12122304
09/13/2018,12058792
09/12/2018,11838531
09/11/2018,11420912
09/10/2018,11127526
09/9/2018,10447007
09/8/2018,11105149
09/7/2018,12315120
09/6/2018,12967947
09/5/2018,13328491
09/4/2018,13233787
09/3/2018,12157563
09/2/2018,11764889
09/1/2018,11929575
08/31/2018,12628372
08/30/2018,13034580
08/29/2018,13450062
08/28/2018,13810263
08/27/2018,13623489
08/26/2018,12180233
08/25/2018,11721914
08/24/2018,11984589
08/23/2018,12056585
08/22/2018,12459529
08/21/2018,12613713
08/20/2018,12603155
08/19/2018,11940938
08/18/2018,12614040
08/17/2018,13469946
08/16/2018,13563367
08/15/2018,13274382
08/14/2018,12990358
08/13/2018,12887157
08/12/2018,12094383
08/11/2018,12315013
08/10/2018,13301318
08/9/2018,13653136
08/8/2018,13729617
08/7/2018,13878626
08/6/2018,13933455
08/5/2018,12925387
08/4/2018,12737549
08/3/2018,13089485
08/2/2018,13001837
08/1/2018,12817188
07/31/2018,12564392
07/30/2018,12553823
07/29/2018,11871721
07/28/2018,12271736
07/27/2018,13111169
07/26/2018,13424656
07/25/2018,13517594
07/24/2018,13329904
07/23/2018,13033546
07/22/2018,11933928
07/21/2018,12109005
07/20/2018,13001066
07/19/2018,13068077
07/18/2018,13081123
07/17/2018,13615671
07/16/2018,13799951
07/15/2018,12221284
07/14/2018,12282292
07/13/2018,12830211
07/12/2018,12836489
07/11/2018,12920877
07/10/2018,12807201
07/9/2018,12160282
07/8/2018,10848493
07/7/2018,10899828
07/6/2018,12202801
07/5/2018,12675644
07/4/2018,12053947
07/3/2018,12935251
07/2/2018,12847560
07/1/2018,10927800
06/30/2018,13031507
06/29/2018,13444197
06/28/2018,13134943
06/27/2018,12667910
06/26/2018,12433721
06/25/2018,12378635
06/24/2018,11700790
06/23/2018,11549107
06/22/2018,12197258
06/21/2018,12451891
06/20/2018,12561191
06/19/2018,13055754
06/18/2018,13353835
06/17/2018,12115693
06/16/2018,11931111
06/15/2018,12415060
06/14/2018,12491607
06/13/2018,12335247
06/12/2018,11830494
06/11/2018,11770266
06/10/2018,10910330
06/9/2018,11453727
06/8/2018,11959522
06/7/2018,11799731
06/6/2018,11552395
06/5/2018,11438316
06/4/2018,11368563
06/3/2018,10955860
06/2/2018,11559897
06/1/2018,12264515
05/31/2018,12262932
05/30/2018,12167433
05/29/2018,12139281
05/28/2018,11048190
05/27/2018,10859504
05/26/2018,11052637
05/25/2018,11499288
05/24/2018,11467728
05/23/2018,11283323
05/22/2018,10980762
05/21/2018,10740383
05/20/2018,9992290
05/19/2018,10188739
05/18/2018,10741510
05/17/2018,10906014
05/16/2018,10921729
05/15/2018,11154411
05/14/2018,11037527
05/13/2018,9991902
05/12/2018,10198364
05/11/2018,10733225
05/10/2018,10759405
05/9/2018,10665691
05/8/2018,10514120
05/7/2018,10307886
